"","4dd6f583-56f7-4b89-90b6-b87fe2e869a1","08df29cf-122c-4b08-8548-31fb2381d0e3","bed5bb51-f8b0-491e-aa94-c1b86702d1a7","043621f6-1007-4bb2-8727-f2604a286b10","f75e892e-2687-4c24-b527-1c6767886b60","86097127-d926-4fe9-9c2b-1357561cb607","496cd7be-066e-4599-a87a-493f7a67466b","0e95ee38-7501-4a90-8814-6977e432df35","6689fb91-ebfa-4330-9175-f5460a7164cd","9f3b34c4-7abb-4a8e-932e-a5aad785ae87","d937da50-7730-4036-ad53-922c3882f2bf","2bbb544d-df23-4640-a516-430c90c93400","30c35ca7-363f-4255-bc8b-b56c11e58fa4","1efb600a-a40d-4cdb-8cc6-5985269d2e35","27a0083a-9e61-4aa4-9d4b-4df0172e2955","753c24c5-ec63-4b6c-a6ef-8c9ea3f57f4e","a3420065-2b79-4da2-bf11-5347e66f9508","fa4ba44b-69e2-4948-a640-707769528a15","5b55f217-01e8-445d-996e-407be35b73e2","9e55ea72-2386-4eb9-99b0-16ddd3b35f70","1bc4335b-2e51-42d7-948a-9afa850d1b09","8bf307ee-7d5a-4b99-8d1a-1452dab31b8c","7fbc48be-c7cf-488c-92e6-2d929342afc3","bb0597b2-c9be-4c28-b1fb-b9ea69db4ef5","ba68cea8-8117-455e-acd4-3d9a6be83e59","819d9c80-e0ce-4f7b-a2bc-580f99763b51","8b0b4fa2-2337-472b-9f13-392f6b5dfdac","3779044e-a5c9-4f43-a0c2-a1bcb4badf08","0e41cf41-e7c0-44e0-ab13-412095774d10","8d0cf50b-1010-44d3-9909-ec8cfc368d28","26ede695-53a3-4c0c-8041-837d2a04bfff","09e8fae4-7b4d-4526-a418-6f54ccb8c43f","fe2dfc32-809a-4747-9a40-51e2ebd9a51b","d0c500e9-3120-4717-87a5-c77eed35b6dc","687df93b-eef2-41fe-8d87-aacd6bdf809f","24d6690a-1a49-44c5-a292-51031b18d337","5676277c-0137-4f71-a1dd-6583c92f1356","01698708-a3a7-478c-8276-9925b2e315d3","59595f39-0eec-4d88-90af-0554c72602bc","088a9427-fd97-418e-a93a-a6ffe5849816","12f4ce67-742f-4eaf-8511-16e8c5af923d","b71c3bd9-2764-4ef2-939a-b6acd8edd9f5","44994ba6-3560-4b1c-bd97-44ab39181360","1750e334-20e1-4318-8b3d-0c01038509be","8f5badfd-da99-4005-ac06-f187a9b81ab7","bec7004c-f81d-4718-acab-109f29d257d3","58e8c631-bb46-4893-99bd-fea547cfbaf1","d8a486af-b882-4316-a9a5-7d3b321e51b8","d3b0323b-4a35-4501-95b2-43e8b28d81f9","6bfca647-d52e-471e-81da-2526b0812774","0e3a1392-3c17-45c5-a106-1f72103da00f"
"macrophages",0.171682829774194,0.643430489432783,0.42691368864804,0.680908631605171,0.764429746891846,0.0486013164438582,0.860872432202803,1.04479236731177,0.662926989906226,0.525769605196709,0.215938763502934,0.871865553892451,0.387768790806357,20.9615871978499,70.8645699603187,0.551647050183954,0.356270789183769,0,0,0.211030175843711,0,0.448687758861589,0,0,0.0969528847128986,0,0.81789832351314,0,1.15342758612462,0.793155804654533,1.01423516106042,0.182750473073045,1.05364142694814,0.407980810711928,0.527694778344048,0.571943852668899,1.00412558195448,1.08127528861693,0.382596711323512,0,0.579999965153545,0.630654631393462,0.972226692487602,0.881249168556942,0.793684931229516,0.588127199017909,0.892118223696926,0.925537588093734,0.560452067133199,0.508882507889811,0.705405124380393
"mast",0.194790556903639,0.503665505809941,0.373216460180792,0.548646327799386,0.312881154482843,0.392208108385725,0.510790171234771,0.407453591887306,0.386602985906364,0.445710150318343,0.361513541183702,0.36281395886316,0.278871441033401,0.688369089578471,1.58116468592455,0.438250704260698,0.633656391383171,0.187486105641563,0.353333615984112,0.59521220706576,0.330868750115392,0.361616815433389,0.386730132274813,0.461015887265062,0.249982248546485,0.0956631390714368,0.552879421711879,0.31348970015816,0.626249369781067,0.578755945584266,0.637273976445485,0.357381184471557,0.678597232073372,0.431564643400884,0.352810773502163,0.288898590006908,0.538616803490088,0.638555051390419,0.404687122372554,0,0.286760610833936,0.443048811950996,0.412110342532756,0.247125650114706,0.373453448568501,0.233947093933647,0.500134162153198,0.304547438787045,0.315619583666259,0.211985749572602,0.435404145396114
"B.naive",0,0,0,0,0,0,0,0,0,0,0,0,0,415.750880628019,156.242269205129,0,0.391782286469887,0,0,0,0,0,0,0,0,0,0.912364600270792,0,0.731690918624723,0,0,0,0,0,0,0,0,0,0,0,0.825976090226827,0,0.909511423375343,0,0,0.0452306417543795,0,0.218717991090268,0,0,0.350220917274369
"B.memory",0,0,0,0,0,0,0,0,0,0,0,0,0,223.953880314386,433.746711602964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"plasma",1.54361510637755,3.79760782550391,2.86205469537732,4.04393078257253,3.70739133104496,2.81014470930631,4.26109089223709,3.66545316178666,2.60437278933859,2.63615546021879,3.3057665245397,3.4157945175465,2.45879172369655,50.2426799751636,39.7225148805901,3.60187342564414,3.78718506879213,1.6108760620765,2.05104141754882,2.50683867705822,1.23344511520873,2.57654989689874,2.24894197128018,2.3672677449034,1.74525220833667,1.41988246810877,3.62362495442997,2.52316932802247,4.8228968800079,4.26197641618272,5.64609647476087,2.46583201059327,5.83246255068327,2.5857502589506,4.72541226086148,3.37774968317501,4.04385163771385,3.36491238910289,4.62699252404568,0,2.50695812493438,1.96264420825877,3.64541014448633,2.42906591464195,2.47276408060753,2.28004492511758,2.55118417004168,1.77460375141519,2.11402384325822,2.03307891541523,2.86302677513311
"T.CD4.naive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.520609566932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T.CD4.memory",6.55128105257698,10.7709333024624,6.85032614833611,13.9687699515979,10.6018032289797,7.45292682314828,13.3553229791978,12.8334556476886,13.4311999814918,12.0318631518772,8.23239266602084,11.7581922569777,8.31143895898692,97.2399428904658,161.338855700727,11.6347337429422,12.3310696867278,5.44876119740493,6.20327377741556,12.2321153507315,4.19186502933951,8.33074465972792,8.15312591408076,11.5035515278687,7.40450771125841,5.97472543263,11.7998968893641,9.31016631777859,12.5728012320159,13.2820113216519,18.531726492271,9.79926709535372,18.0055569308663,7.45688214311831,13.6162166858076,14.0349868344971,15.2941942799513,13.965060044297,14.7953171296726,0,8.03915794737991,11.0190305524847,13.0526153846135,7.40212230229501,9.46674155429776,4.7552091717576,9.11781535024512,6.44318981501071,6.91209478589543,7.48743659371385,8.36077372047017
"T.CD8.naive",2.08828839996068,9.79990933353338,8.139072019568,8.28731827979386,4.3854143776544,9.07417558126995,7.84525258080651,6.31239083100802,8.12283035481518,8.77314429739556,8.57587287366458,10.223121002049,5.99179814850858,1.42668996098563,14.5853561392682,7.94521705118614,11.9323270837802,3.3108162978048,6.22591905772435,3.76910383586715,4.44517738292652,4.86509178643911,7.05098227665685,5.72864048908779,2.4366103890175,1.19831591079715,8.64319061202101,2.80985888812723,12.5078198849686,7.68935577104878,10.7903369638719,5.92055465422543,9.94334898095773,4.62894487002624,7.81827609715596,5.30729990900996,7.17762546152034,7.35990474127584,7.46613415765298,0,4.29174148877889,4.30134528973713,6.11109157437363,4.15762086947907,3.27881763132745,3.49877080080834,3.21040964548799,5.91071086070185,4.51424382155477,1.89842132954415,5.37795806061461
"T.CD8.memory",0.100944267194038,0.637529804447126,0,2.1274818170228,0.240272523388787,0,0,1.36965402872845,0,0,0,0,0,9.51630817820189,67.4902694948042,0,0,0,0,2.04415472343375,0,1.53171363234492,0,0,0,0,0.826695056690516,0.637164629677314,9.19549771876712e-06,0.128215111364915,3.2377593267672,1.26705816978733,0.341590728385594,2.81448131864958,0.207031676016,0,0,1.2729269811042,0.367519280306837,0,0,0,2.24100985949615,0.989214283288399,2.99515061550452,1.34081139748568,3.00262066624207,0.0253748800776533,0.712408627872244,1.64834380197209,0.213921061022282
"NK",1.664731561668,4.31811534083469,3.84291111866888,3.9413713887934,4.30966149029833,3.09232934844722,4.09746077163241,4.63554062489732,2.47448584336012,4.28159299720332,3.39582866349016,4.34702284537703,2.80656593031681,0.279312600525965,17.1384267907377,4.78201097716516,4.15013948601533,1.43664411600667,1.62024023671791,2.72078652351217,1.26370074892734,2.70529134987711,2.58309974692538,3.89438513860438,1.91912826669308,1.79041123390107,3.96523871984221,1.6577007209284,5.27787886589417,5.33629799916562,6.72309820347397,3.14945511061848,7.45455752607394,2.85962244205812,3.62078758736,2.62354350695885,4.88403824210132,4.24526130898666,4.50982615351184,0,3.29785503096757,3.06876362550482,4.41060049539077,2.70254621403663,2.56291412649684,2.22757490748094,2.67398581417047,3.15754276430033,3.19572901424776,2.48244440345036,3.47229838929088
"pDCs",0,0.612702274356601,0.421763258452793,0.652866760258813,0.0718015265728341,0.00586493076726674,0.692122617033447,0.637019714720625,0.261624251822656,0.401899716711622,0.535128384383153,0.383380609785609,0.362428084826412,0,17.8791561996414,0.545059257923213,0.371439359237173,0.389133490261436,0,0.316728330277827,0.0109180818591586,0.368193158013531,0,0.208767721057451,0.0772947909226045,0,0.628310310613243,0.270131957934122,0.340601034308901,0.367861310601735,1.14875030107825,0.35956126419264,1.0848168103419,0.108002140238135,0.366471145397656,0.0931181626559481,0.239271602443935,0.516997519280965,0.436689578482955,0,0.348774014241919,0.286923425745032,0.243098622897673,0.312843375156356,0.40760880390626,0.414114426719467,0.32402720735803,0.358259030058203,0.199621034996201,0.321428157359482,0.103858963646956
"mDCs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85408329446401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"monocytes.C",0,0.291487059975837,0.10792041839301,0.124180519669592,0.238633320977889,0.24169379520088,0.370252687529255,0.181122776037852,0,0.100377745495571,0,0.113122964263608,0.0812898648442455,0,0,0,0,0,0,0,0,0,0.125236526925019,0,0,0,0,0.183751774277787,0,0,0.00206818020220442,0,0.126871305532535,0,0,0,0.230387906861214,0.272540063423482,0.197632406287546,0,0.0663032985172291,0.275283998837639,0.0715086835336801,0,0.294004353326983,0.147518309533844,0.288555849273265,0.0540589316360193,0.156988934139276,0.250707879171143,0.0749164404152263
"monocytes.NC.I",1.80908886970055,2.60815452802849,2.47722410941679,3.17463901032952,2.78612638283248,1.97335750323383,3.25515083035565,2.59310338995637,2.63813855046544,2.56414742810023,2.58810682940149,3.72928832818026,1.99251276164623,0,14.8513509113067,2.78387831062384,3.9514682641963,1.98731111685731,1.56276523303932,3.05307793881068,0.593457610193837,2.10731180872175,2.22336780653018,3.71226511317269,1.62688001923268,1.38154454527016,3.07223823683713,2.31846256633275,2.33576691341616,2.59541855832764,3.16203476767273,2.79613306954827,2.11295596490357,3.04230564752109,2.93908886258778,2.70711248187815,2.86570775814127,1.74246254432382,2.43137451156594,0,2.29512789393928,2.02426130022451,3.21953346612276,1.98124531188684,1.91601521858765,1.49773486912227,2.57042856336967,1.86750206188979,1.4924049595487,1.19262739969851,1.77907018767349
"neutrophils",1.02075740676054,3.19781796192964,2.37086750826863,4.25157903878818,2.36198899043081,1.54742931175008,2.23491976678492,2.59802855066609,2.21239852037361,3.11446396437907,2.95639923824531,2.20242863489551,1.75897910792656,0.613056616592876,10.917642831212,3.31286559671132,3.08977577384344,1.09603508734419,1.16101800525755,2.48917631368882,1.77417400124312,2.91009049985879,1.37580699302251,2.1365561729818,2.43282444400387,1.51977627964659,3.83201927261027,1.50369905732903,3.74495043541938,3.72970911864917,4.09347580540696,2.80872410822615,5.1695721787076,2.43469349013293,4.02951872523312,3.64788560588478,3.18140875611551,3.51333250920879,3.39674592755911,0,2.41314666635556,2.2470051350017,3.53467706351671,3.13539213751312,2.90354149671065,1.8644059544103,1.73323747658622,1.90664409153782,3.02036043222619,2.31862404203033,2.50364508468811
"Treg",0,0,0,0,0,0,0,0,0,0,0,0,0,2.53461050111516,10.8588040555755,0.0779519819167547,0,0,0,0,0,0.0302099716918369,0,0,0,0,0.402004120077977,0,0,0,0,0,0,0,0,1.05883276141078,0,0,0,0,0.378083129134954,0,0.0399636820083892,0,0.505040204896065,0,0.302347153342544,0,1.28352013284507,0,0
"endothelial.cells",9.82885894641609,17.1178382898975,17.2620905202495,19.2617229399408,17.7820767574697,15.1954643724401,18.4477302088046,15.5879922555219,17.7807460799947,20.5000839075967,18.9283986736275,19.6550045901217,13.4450953005211,12.8205611424151,51.5797242169243,17.335564782767,22.676139076246,9.39129789443956,11.4029564360384,19.1405659188162,1.84511467512137,13.9665619911798,19.3962387070915,22.5992115344178,5.60811807998744,9.61054834656386,22.053743028101,13.2263006024754,16.2359746255386,17.5539683304662,23.3476893448191,12.8955655699789,21.338141658228,13.4826680055518,19.6863361719309,15.1469101407183,19.5715260244909,15.1345506619211,17.3149314401442,0,10.645954631869,12.3626355313163,14.8254704444994,10.2493398038642,11.3492091128102,7.93920710993389,12.0639571454327,8.72638628542967,8.03287506424257,8.6597655334611,10.142667970319
"fibroblasts",7.46368104409971,23.3985875128419,19.4519441253412,21.566776533825,35.5516788440105,33.4571359030765,22.4704171222961,17.8513898250262,21.078211579293,24.6164041978114,18.7844301239939,20.6459873238722,15.6516963550186,3.17944948826316,20.6826356092689,19.9826788011945,19.5698320839284,7.63740993804935,19.3894032004037,22.5426501469841,4.26218912584757,9.24852102637233,48.0715097534314,26.4530272923893,3.08687135851389,14.8358950255261,17.1614546746626,13.7717866305976,16.5276136406923,26.1243053201446,23.874427854153,18.2862287376895,19.8210788528475,9.31861062543419,28.8334676572567,22.1889587013365,16.8757785471227,14.1964249603243,27.8853057975019,0,25.861120989533,17.6070649205619,26.3204926085965,13.7047572209656,11.5182610192809,33.7593599066607,15.150278882316,13.1428241433888,13.6567744886494,14.1234025565797,14.2393672866424
